mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170091,Gomati Sai,Elected,23-05-2019,In Office,First Term,Raigarh,Chhattisgarh,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"12th Pass, Educated at Government Inter College, Tapkara, Jashpur, Chhattisgarh",45,13,0,108,0.935222672, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170087,Guharam Ajgalley,Elected,23-05-2019,In Office,Second Term,Janjgir-Champa,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.A., L.L.B. Educated at Swami Bal Krishanpuri University, Raigarh, Chhattisgarh",56,7,0,1,0.955465587, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170089,Jyotsna Charandas Mahant,Elected,23-05-2019,In Office,First Term,Korba,Chhattisgarh,Indian National Congress,Female,Information Not Available,Information Not Available,69,7,0,111,0.720647773, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170085,Arun Sao,Elected,23-05-2019,In Office,First Term,Bilaspur,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.com and LLB Educated at S.N.G College, Muneli, Dist. Mungeli (Chhattisgarh) and K.R. Law College",54,37,0,363,0.886639676, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170093,Santosh Pandey,Elected,23-05-2019,In Office,First Term,Rajnandgaon,Chhattisgarh,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,55,35,0,96,0.777327935, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170086,Vijay Baghel,Elected,23-05-2019,In Office,First Term,Durg,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.Com. Educated at Chhattisgarh University, Raipur, Chhattisgarh",64,26,0,277,0.858299595, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170088,Mohan Mandavi,Elected,23-05-2019,In Office,First Term,Kanker,Chhattisgarh,Bharatiya Janata Party,Male,Post Graduate,"M.A. (History) Educated at Government Post Graduate College, Kanker, Chhattisgarh",66,26,0,93,1, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,25.1,N/A,159.1,0.888663968,Lok Sabha
170156,Vijay Kumar Hansdak,Elected,23-05-2019,In Office,Second Term,Rajmahal,Jharkhand,Jharkhand Mukti Morcha,Male,Under Matric,Matric,40,12,0,23,0.647773279, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,49.22435897,3.769230769,220.0705128,0.844596699,Lok Sabha
170153,Annpurna Devi,Elected,23-05-2019,In Office,First Term,Kodarma,Jharkhand,Bharatiya Janata Party,Female,Post Graduate,"Educated at Ranchi University, Jharkhand",53,31,0,97,0.789473684,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",24.43976303,0.294307337,77.08705717,0.788702577,25.30769231,0.769230769,93.15384615,0.844596699,Lok Sabha
170148,Chandra Prakash Choudhary,Elected,23-05-2019,In Office,First Term,Giridih,Jharkhand,AJSU Party,Male,Graduate,"B.Com, Educated at Ramgarh Mahavidyalaya, Ramgarh, Jharkhand",55,13,0,147,0.728744939, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,49.22435897,3.769230769,220.0705128,0.844596699,Lok Sabha
170146,Pashupati Nath Singh,Elected,23-05-2019,In Office,Third Term,Dhanbad,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc.,74,18,0,111,0.87854251, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,49.22435897,3.769230769,220.0705128,0.844596699,Lok Sabha
170157,Sanjay Seth,Elected,23-05-2019,In Office,First Term,Ranchi,Jharkhand,Bharatiya Janata Party,Male,Information Not Available,Information not available,63,67,0,182,0.854251012, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,49.22435897,3.769230769,220.0705128,0.844596699,Lok Sabha
170154,Sudarshan Bhagat,Elected,23-05-2019,In Office,Third Term,Lohardaga,Jharkhand,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",53,31,0,88,0.935222672, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,49.22435897,3.769230769,220.0705128,0.844596699,Lok Sabha
170500,Mala Rajya Laxmi Shah,Elected,23-05-2019,In Office,Third Term,Tehri Garhwal,Uttarakhand,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",72,10,0,144,0.854251012, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,28.25,1.75,66,0.890930623,Lok Sabha
170496,Ajay Tamta,Elected,23-05-2019,In Office,Second Term,Almora,Uttarakhand,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter (Science),51,14,0,9,0.882591093, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,28.25,1.75,66,0.890930623,Lok Sabha
